scene,time,raw_motion,M,O,camera_angle,camera_confidence,face_emotion,face_confidence,face_found,F,objects,emotion,scene_type,scene_type_confidence,classification_reliable
1,00:00.00-00:01.67,0.3337,0.0334,0.3143,left,0.6013,neutral,0.0,False,0.0,car,angry,Emotional,0.771,True
2,00:01.67-00:04.71,0.7571,0.0757,0.8556,right,0.7266,neutral,0.0,False,0.0,"car, person",sad,Emotional,0.5136,True
3,00:04.71-00:05.71,4.4339,0.4434,0.143,left,0.5886,neutral,0.0,False,0.0,clock,fear,Romance,0.8002,True
4,00:05.71-00:06.34,6.9956,0.6996,0.0,left,0.78,neutral,0.0,False,0.0,,fear,Emotional,0.9133,True
5,00:06.34-00:07.13,2.122,0.2122,0.1396,front,0.3869,neutral,0.0,False,0.0,umbrella,happy,Emotional,0.5721,True
6,00:07.13-00:08.51,3.4299,0.343,0.1387,left,0.7331,sad,1.0,True,1.0,umbrella,sad,Thriller,0.3788,False
7,00:08.51-00:09.72,3.4057,0.3406,0.0,right,0.9022,fear,0.6335,True,0.6335,,fear,Emotional,0.6092,True
8,00:09.72-00:11.18,2.082,0.2082,0.3558,front,0.8062,neutral,0.9999,True,0.9999,person,neutral,Romance,0.5711,True
9,00:11.18-00:12.55,2.5059,0.2506,0.3598,left,0.6978,neutral,0.0,False,0.0,person,angry,Dialogue,0.7047,True
10,00:12.55-00:13.35,5.0955,0.5095,0.3531,left,0.6562,neutral,0.0,False,0.0,person,fear,Emotional,0.8932,True
11,00:13.35-00:14.51,0.5353,0.0535,0.3073,left,0.6332,neutral,0.0,False,0.0,car,fear,Suspense,0.3473,False
12,00:14.51-00:16.18,0.1946,0.0195,0.1573,right,0.5486,neutral,0.0,False,0.0,stop sign,angry,Unknown,0.7072,True
13,00:16.18-00:17.10,7.0559,0.7056,0.473,right,0.9934,neutral,0.0,False,0.0,car,angry,Dialogue,0.5979,True
14,00:17.10-00:18.06,0.0451,0.0045,0.0,front,0.551,neutral,0.0,False,0.0,,fear,Unknown,0.8213,True
15,00:18.06-00:18.85,4.2411,0.4241,0.0,left,0.723,neutral,0.0,False,0.0,,angry,Comedy,0.6415,True
16,00:18.85-00:19.94,0.9231,0.0923,0.0,right,0.7584,neutral,0.0,False,0.0,,angry,Unknown,0.6919,True
17,00:19.94-00:20.77,5.4636,0.5464,0.3927,left,0.547,neutral,0.0,False,0.0,horse,fear,Emotional,0.4881,True
18,00:20.77-00:21.94,6.0778,0.6078,0.3198,left,0.7495,neutral,0.0,False,0.0,"person, teddy bear",fear,Comedy,0.4653,True
19,00:21.94-00:23.15,2.8482,0.2848,0.1161,left,0.9594,disgust,0.4547,True,0.4547,kite,disgust,Comedy,0.8022,True
20,00:23.15-00:23.98,0.1807,0.0181,0.0,right,0.9198,neutral,0.0,False,0.0,,angry,Unknown,0.7125,True
21,00:23.98-00:25.32,0.7986,0.0799,0.0,right,0.9457,neutral,0.0,False,0.0,,angry,Emotional,0.9233,True
22,00:25.32-00:26.03,0.2056,0.0206,0.2922,right,0.5281,neutral,0.0,False,0.0,person,angry,Unknown,0.4613,True
23,00:26.03-00:26.57,5.055,0.5055,0.2804,right,0.8991,neutral,0.0,False,0.0,person,angry,Dialogue,0.5635,True
24,00:26.57-00:27.11,6.8303,0.683,0.1118,left,0.7365,neutral,0.0,False,0.0,traffic light,angry,Comedy,0.5082,True
25,00:27.11-00:28.19,1.7624,0.1762,0.1315,right,0.6048,neutral,0.0,False,0.0,traffic light,angry,Action,0.3204,False
26,00:28.19-00:29.36,0.8101,0.081,0.0,left,0.7009,neutral,0.0,False,0.0,,fear,Comedy,0.5701,True
27,00:29.36-00:30.74,7.4676,0.7468,0.5348,right,0.8496,fear,0.8187,True,0.8187,"person, vase",fear,Comedy,0.4497,True
28,00:30.74-00:31.82,1.5064,0.1506,0.1295,right,0.8539,neutral,0.0,False,0.0,mouse,angry,Comedy,0.5003,True
29,00:31.82-00:32.53,0.6146,0.0615,0.3723,right,0.97,happy,0.6296,True,0.6296,person,happy,Thriller,0.3338,False
30,00:32.53-00:33.12,7.4057,0.7406,0.3654,right,0.4497,sad,0.3402,True,0.3402,person,sad,Action,0.3738,False
31,00:33.12-00:34.62,2.3902,0.239,0.3781,right,0.6357,neutral,0.0,False,0.0,"baseball glove, chair, tv",angry,Thriller,0.2525,False
32,00:34.62-00:35.58,4.1631,0.4163,1.0,right,0.8155,neutral,0.0,False,0.0,"airplane, kite, motorcycle",angry,Dialogue,0.898,True
33,00:35.58-00:36.83,10.0303,1.0,0.3692,right,0.4777,surprise,0.5737,True,0.5737,person,surprise,Dialogue,0.4095,True
