scene,time,tempo_bpm,audio_energy_raw,A,mfcc_mean,spectral_centroid,zcr,audio_emotion,audio_confidence,audio_emotion_raw_score,audio_mood
1,00:00.00-00:01.75,143.55,0.230972,1.0,6.3705,824.32,0.013704,angry,0.3514,0.3514,intense
2,00:01.75-00:02.46,143.55,0.262643,1.0,9.6827,1102.1,0.019232,angry,0.3514,0.3514,intense
3,00:02.46-00:03.55,143.55,0.113989,0.7599,0.4826,2455.01,0.070645,happy,0.3684,0.3684,intense
4,00:03.55-00:05.67,143.55,0.066251,0.4417,-1.8251,1892.7,0.075163,happy,0.4054,0.4054,suspense
5,00:05.67-00:07.22,143.55,0.229257,1.0,8.3418,1406.97,0.026477,angry,0.3514,0.3514,intense
6,00:07.22-00:08.84,143.55,0.304363,1.0,9.1518,989.04,0.019669,angry,0.3514,0.3514,intense
7,00:08.84-00:10.26,143.55,0.171295,1.0,1.8302,1352.15,0.033699,angry,0.3514,0.3514,intense
8,00:10.26-00:11.55,143.55,0.184651,1.0,8.2167,1216.15,0.027963,angry,0.3514,0.3514,intense
9,00:11.55-00:12.47,143.55,0.133521,0.8901,2.5099,1572.09,0.048682,angry,0.3714,0.3714,intense
10,00:12.47-00:13.35,143.55,0.128342,0.8556,4.5923,1491.6,0.029631,angry,0.3514,0.3514,intense
11,00:13.35-00:14.60,143.55,0.087979,0.5865,0.3488,1851.12,0.054235,happy,0.4412,0.4412,emotional
12,00:14.60-00:17.18,143.55,0.102937,0.6862,0.3382,1688.23,0.067322,angry,0.3095,0.3095,emotional
13,00:17.18-00:18.18,143.55,0.119517,0.7968,2.7319,1560.56,0.041582,angry,0.3714,0.3714,intense
14,00:18.18-00:20.35,143.55,0.096466,0.6431,-3.1453,2066.71,0.068598,happy,0.3846,0.3846,emotional
15,00:20.35-00:22.15,143.55,0.07203,0.4802,-2.8366,1843.32,0.053705,happy,0.4545,0.4545,suspense
16,00:22.15-00:23.61,143.55,0.058128,0.3875,-2.0407,2085.47,0.075653,happy,0.4167,0.4167,suspense
17,00:23.61-00:25.61,143.55,0.080541,0.5369,-3.072,2122.67,0.075235,happy,0.4167,0.4167,suspense
18,00:25.61-00:26.82,143.55,0.069334,0.4622,-6.2612,2063.88,0.056548,happy,0.5556,0.5556,suspense
19,00:26.82-00:29.03,143.55,0.14357,0.9571,1.7382,1451.07,0.028402,angry,0.3514,0.3514,intense
20,00:29.03-00:30.70,143.55,0.207427,1.0,3.146,1267.76,0.01886,angry,0.3514,0.3514,intense
21,00:30.70-00:31.82,143.55,0.113865,0.7591,-0.9416,1525.15,0.043826,angry,0.3714,0.3714,intense
22,00:31.82-00:32.78,143.55,0.110415,0.7361,-0.2596,2079.97,0.063756,angry,0.3611,0.3611,intense
23,00:32.78-00:33.58,143.55,0.138526,0.9235,2.5871,1912.51,0.040723,angry,0.4062,0.4062,intense
24,00:33.58-00:34.49,143.55,0.134514,0.8968,1.2614,1552.4,0.030225,angry,0.3514,0.3514,intense
25,00:34.49-00:35.41,143.55,0.197783,1.0,5.4119,1421.81,0.030029,angry,0.3514,0.3514,intense
26,00:35.41-00:39.41,117.45,0.058588,0.3906,-5.2975,1890.49,0.083076,happy,0.375,0.375,suspense
27,00:39.41-00:41.25,143.55,0.046448,0.3097,-6.4975,1636.01,0.050098,happy,0.5172,0.5172,suspense
28,00:41.25-00:42.79,143.55,0.042584,0.2839,-6.6056,1698.7,0.065364,happy,0.4687,0.4687,suspense
29,00:42.79-00:44.84,143.55,0.047185,0.3146,-5.2772,1839.58,0.082366,happy,0.4412,0.4412,suspense
30,00:44.84-00:45.42,143.55,0.186165,1.0,9.8102,2022.79,0.050706,angry,0.4483,0.4483,intense
31,00:45.42-00:46.00,143.55,0.164248,1.0,8.4964,2594.79,0.087816,angry,0.3409,0.3409,intense
32,00:46.00-00:47.17,143.55,0.205974,1.0,10.187,2145.76,0.05935,angry,0.4483,0.4483,intense
33,00:47.17-00:47.96,143.55,0.133757,0.8917,2.5867,2227.23,0.078055,happy,0.3684,0.3684,intense
34,00:47.96-00:49.42,143.55,0.119119,0.7941,1.0145,1964.51,0.0594,angry,0.4062,0.4062,intense
35,00:49.42-00:50.80,143.55,0.109427,0.7295,-4.5673,2177.7,0.124886,angry,0.3,0.3,intense
36,00:50.80-00:51.51,143.55,0.234702,1.0,7.7023,1480.47,0.048277,angry,0.3714,0.3714,intense
37,00:51.51-00:52.22,143.55,0.185503,1.0,6.5504,1962.64,0.049694,angry,0.4062,0.4062,intense
38,00:52.22-00:52.76,143.55,0.140687,0.9379,-0.2938,2090.82,0.056376,angry,0.4483,0.4483,intense
39,00:52.76-00:53.39,143.55,0.142097,0.9473,2.8773,2458.86,0.09281,angry,0.375,0.375,intense
40,00:53.39-00:54.39,143.55,0.140364,0.9358,-2.4991,1801.98,0.058072,angry,0.3824,0.3824,intense
41,00:54.39-00:55.31,143.55,0.094336,0.6289,-7.5626,1996.99,0.096704,happy,0.3191,0.3191,emotional
42,00:55.31-00:56.60,143.55,0.119826,0.7988,2.1135,1931.49,0.068665,angry,0.3714,0.3714,intense
43,00:56.60-00:59.14,143.55,0.101689,0.6779,-2.8736,1593.83,0.063965,angry,0.2955,0.2955,emotional
44,00:59.14-01:00.52,143.55,0.185979,1.0,6.3698,2185.55,0.078743,angry,0.3714,0.3714,intense
45,01:00.52-01:01.56,143.55,0.266837,1.0,10.3018,2244.83,0.046322,happy,0.4375,0.4375,intense
46,01:01.56-01:02.35,143.55,0.156347,1.0,6.2861,1851.76,0.042271,angry,0.4062,0.4062,intense
