scene,time,scene_type,scene_type_confidence,classification_reliable,M,A,O,F,EI,level,audio_mood,audio_emotion,audio_confidence,audio_emotion_raw_score,camera_angle,face_emotion,face_found,objects,tempo_bpm,mfcc_mean,spectral_centroid,fusion_confidence
1,00:00.00-00:01.75,Romance,0.7947,True,0.141,1.0,0.217,0.0,0.39,Low,intense,angry,0.3514,0.3514,left,unknown,False,"chair, tv",143.55,6.3705,824.32,0.7947
2,00:01.75-00:02.46,Romance,0.9189,True,0.2688,1.0,0.3516,0.0,0.46,Medium,intense,angry,0.3514,0.3514,right,unknown,False,person,143.55,9.6827,1102.1,0.9189
3,00:02.46-00:03.55,Comedy,0.9338,True,0.1611,0.7599,0.3197,0.0,0.35,Low,intense,happy,0.3684,0.3684,left,unknown,False,person,143.55,0.4826,2455.01,0.9338
4,00:03.55-00:05.67,Romance,0.9373,True,0.2327,0.4417,0.278,0.0,0.27,Low,suspense,happy,0.4054,0.4054,right,unknown,False,"chair, microwave, oven",143.55,-1.8251,1892.7,0.9373
5,00:05.67-00:07.22,Romance,0.8551,True,0.1443,1.0,0.32,0.0,0.41,Medium,intense,angry,0.3514,0.3514,right,unknown,False,person,143.55,8.3418,1406.97,0.8551
6,00:07.22-00:08.84,Romance,0.8388,True,0.1137,1.0,0.4978,0.5801,0.53,Medium,intense,angry,0.3514,0.3514,left,neutral,True,"person, tv",143.55,9.1518,989.04,0.8388
7,00:08.84-00:10.26,Romance,0.8423,True,0.0163,1.0,0.5275,0.7961,0.53,Medium,intense,angry,0.3514,0.3514,left,neutral,True,"person, tv",143.55,1.8302,1352.15,0.8423
8,00:10.26-00:11.55,Romance,0.7709,True,0.0346,1.0,0.3207,0.0,0.38,Low,intense,angry,0.3514,0.3514,right,unknown,False,person,143.55,8.2167,1216.15,0.7709
9,00:11.55-00:12.47,Romance,0.6342,True,0.0157,0.8901,0.5386,0.4887,0.45,Medium,intense,angry,0.3714,0.3714,left,sad,True,"person, tv",143.55,2.5099,1572.09,0.6342
10,00:12.47-00:13.35,Romance,0.6293,True,0.0801,0.8556,0.3808,0.0,0.36,Low,intense,angry,0.3514,0.3514,left,unknown,False,person,143.55,4.5923,1491.6,0.6293
11,00:13.35-00:14.60,Emotional,0.6479,True,0.3031,0.5865,0.366,0.9962,0.5,Medium,emotional,happy,0.4412,0.4412,left,sad,True,person,143.55,0.3488,1851.12,0.6479
12,00:14.60-00:17.18,Romance,0.5604,True,0.0326,0.6862,0.3782,0.808,0.41,Medium,emotional,angry,0.3095,0.3095,left,angry,True,person,143.55,0.3382,1688.23,0.5604
13,00:17.18-00:18.18,Romance,0.7786,True,0.0574,0.7968,0.376,0.9552,0.48,Medium,intense,angry,0.3714,0.3714,right,neutral,True,person,143.55,2.7319,1560.56,0.7786
14,00:18.18-00:20.35,Romance,0.7718,True,0.038,0.6431,0.3634,0.9973,0.43,Medium,emotional,happy,0.3846,0.3846,right,fear,True,person,143.55,-3.1453,2066.71,0.7718
15,00:20.35-00:22.15,Romance,0.885,True,0.3828,0.4802,0.3838,0.8749,0.49,Medium,suspense,happy,0.4545,0.4545,right,fear,True,person,143.55,-2.8366,1843.32,0.885
16,00:22.15-00:23.61,Emotional,0.6197,True,0.1281,0.3875,0.3561,0.8064,0.35,Low,suspense,happy,0.4167,0.4167,right,neutral,True,person,143.55,-2.0407,2085.47,0.6197
17,00:23.61-00:25.61,Romance,0.7657,True,0.1083,0.5369,0.5398,0.9649,0.45,Medium,suspense,happy,0.4167,0.4167,left,neutral,True,"person, tv",143.55,-3.072,2122.67,0.7657
18,00:25.61-00:26.82,Emotional,0.5862,True,0.072,0.4622,0.4467,0.8023,0.37,Low,suspense,happy,0.5556,0.5556,left,sad,True,"chair, person",143.55,-6.2612,2063.88,0.5862
19,00:26.82-00:29.03,Romance,0.4757,True,0.0885,0.9571,0.3768,0.8447,0.52,Medium,intense,angry,0.3514,0.3514,right,surprise,True,person,143.55,1.7382,1451.07,0.4757
20,00:29.03-00:30.70,Romance,0.7969,True,0.0481,1.0,0.3816,0.9929,0.54,Medium,intense,angry,0.3514,0.3514,left,sad,True,person,143.55,3.146,1267.76,0.7969
21,00:30.70-00:31.82,Romance,0.7883,True,0.0378,0.7591,0.55,0.7381,0.46,Medium,intense,angry,0.3714,0.3714,left,angry,True,"person, tv",143.55,-0.9416,1525.15,0.7883
22,00:31.82-00:32.78,Comedy,0.8693,True,0.3056,0.7361,0.5679,0.5792,0.53,Medium,intense,angry,0.3611,0.3611,right,angry,True,"person, suitcase",143.55,-0.2596,2079.97,0.8693
23,00:32.78-00:33.58,Comedy,0.7696,True,0.3431,0.9235,0.3687,0.7457,0.58,Medium,intense,angry,0.4062,0.4062,left,fear,True,person,143.55,2.5871,1912.51,0.7696
24,00:33.58-00:34.49,Comedy,0.7149,True,0.7344,0.8968,0.6687,0.5663,0.74,High,intense,angry,0.3514,0.3514,left,neutral,True,"chair, person, suitcase",143.55,1.2614,1552.4,0.7149
25,00:34.49-00:35.41,Comedy,0.6975,True,0.162,1.0,0.968,0.9632,0.69,Medium,intense,angry,0.3514,0.3514,left,happy,True,"car, person, tie",143.55,5.4119,1421.81,0.6975
26,00:35.41-00:39.41,Romance,0.7764,True,0.1542,0.3906,0.7614,0.8458,0.45,Medium,suspense,happy,0.375,0.375,right,fear,True,"car, person",117.45,-5.2975,1890.49,0.7764
27,00:39.41-00:41.25,Romance,0.7464,True,0.2137,0.3097,0.27,0.9913,0.37,Low,suspense,happy,0.5172,0.5172,right,fear,True,person,143.55,-6.4975,1636.01,0.7464
28,00:41.25-00:42.79,Romance,0.6382,True,0.1084,0.2839,0.8576,0.6794,0.4,Medium,suspense,happy,0.4687,0.4687,right,sad,True,"car, person",143.55,-6.6056,1698.7,0.6382
29,00:42.79-00:44.84,Romance,0.7411,True,0.1324,0.3146,0.6556,0.9948,0.42,Medium,suspense,happy,0.4412,0.4412,right,sad,True,"car, person",143.55,-5.2772,1839.58,0.7411
30,00:44.84-00:45.42,Comedy,0.4131,True,0.012,1.0,0.6072,0.0,0.43,Medium,intense,angry,0.4483,0.4483,right,unknown,False,airplane,143.55,9.8102,2022.79,0.4131
31,00:45.42-00:46.00,Comedy,0.7374,True,0.0059,1.0,0.5488,0.0,0.41,Medium,intense,angry,0.3409,0.3409,right,unknown,False,car,143.55,8.4964,2594.79,0.7374
32,00:46.00-00:47.17,Comedy,0.6498,True,0.074,1.0,0.5464,0.8796,0.57,Medium,intense,angry,0.4483,0.4483,right,fear,True,car,143.55,10.187,2145.76,0.6498
33,00:47.17-00:47.96,Comedy,0.5687,True,0.3383,0.8917,0.6189,0.0,0.51,Medium,intense,happy,0.3684,0.3684,right,unknown,False,"chair, person, refrigerator",143.55,2.5867,2227.23,0.5687
34,00:47.96-00:49.42,Comedy,0.9196,True,0.6058,0.7941,0.6629,0.9418,0.72,High,intense,angry,0.4062,0.4062,left,sad,True,"bottle, person, refrigerator",143.55,1.0145,1964.51,0.9196
35,00:49.42-00:50.80,Comedy,0.5483,True,0.1847,0.7295,0.4586,0.8616,0.5,Medium,intense,angry,0.3,0.3,left,angry,True,"chair, person",143.55,-4.5673,2177.7,0.5483
36,00:50.80-00:51.51,Comedy,0.7452,True,0.3625,1.0,1.0,0.0,0.63,Medium,intense,angry,0.3714,0.3714,right,unknown,False,"car, dog, horse, person, suitcase, truck",143.55,7.7023,1480.47,0.7452
37,00:51.51-00:52.22,Comedy,0.7894,True,0.0297,1.0,1.0,0.0,0.51,Medium,intense,angry,0.4062,0.4062,right,unknown,False,"car, dog, handbag, person, suitcase, truck",143.55,6.5504,1962.64,0.7894
