scene,time,tempo_bpm,audio_energy_raw,A,mfcc_mean,spectral_centroid,zcr,audio_emotion,audio_confidence,audio_emotion_raw_score,audio_mood
1,00:00-00:08,136.0,0.179455,1.0,4.4941,1517.96,0.043524,angry,0.3714,0.3714,intense
2,00:08-00:16,136.0,0.157888,1.0,3.2129,1424.19,0.041544,angry,0.3714,0.3714,intense
3,00:16-00:24,136.0,0.085715,0.5714,-1.6837,1957.69,0.068512,happy,0.4054,0.4054,emotional
4,00:24-00:32,136.0,0.131399,0.876,-0.384,1597.46,0.039245,angry,0.3514,0.3514,intense
5,00:32-00:40,117.45,0.096192,0.6413,-2.1762,1794.23,0.063474,happy,0.2857,0.2857,emotional
6,00:40-00:48,103.36,0.099304,0.662,-0.3526,1941.66,0.069686,fear,0.3333,0.3333,emotional
7,00:48-00:56,215.33,0.141387,0.9426,0.1251,1956.41,0.075692,angry,0.3421,0.3421,intense
8,00:56-01:04,103.36,0.150635,1.0,2.5832,1802.37,0.060976,angry,0.3462,0.3462,emotional
9,01:04-01:12,103.36,0.112594,0.7506,0.6343,2084.25,0.084086,angry,0.3929,0.3929,emotional
10,01:12-01:20,103.36,0.111524,0.7435,-1.2732,1958.2,0.074206,fear,0.303,0.303,emotional
11,01:20-01:28,103.36,0.170315,1.0,2.9467,1914.11,0.063893,angry,0.3462,0.3462,emotional
12,01:28-01:36,123.05,0.237922,1.0,7.1801,1563.0,0.035722,angry,0.2727,0.2727,intense
13,01:36-01:44,143.55,0.117907,0.786,-1.5842,1968.92,0.073939,angry,0.3421,0.3421,intense
14,01:44-01:52,143.55,0.150906,1.0,3.5474,2017.09,0.062956,angry,0.4063,0.4063,intense
15,01:52-02:00,129.2,0.144317,0.9621,-1.8294,2073.59,0.077703,angry,0.3714,0.3714,intense
16,02:00-02:08,143.55,0.182143,1.0,4.9453,2223.72,0.067952,happy,0.4,0.4,intense
17,02:08-02:16,152.0,0.227705,1.0,8.2931,2220.29,0.077536,happy,0.3684,0.3684,intense
18,02:16-02:24,143.55,0.306499,1.0,12.2697,2152.04,0.058199,angry,0.4483,0.4483,intense
19,02:24-02:32,143.55,0.192631,1.0,2.5225,2121.93,0.068243,angry,0.4063,0.4063,intense
20,02:32-02:40,117.45,0.116144,0.7743,-1.3417,1754.6,0.053567,angry,0.3103,0.3103,emotional
21,02:40-02:48,89.1,0.171829,1.0,1.1075,1907.29,0.060779,sad,0.3103,0.3103,emotional
