scene,time,tempo_bpm,audio_energy_raw,A,mfcc_mean,spectral_centroid,zcr,audio_emotion,audio_confidence,audio_emotion_raw_score,audio_mood
1,00:00.00-00:01.71,136.0,0.096273,0.6418,-3.0283,907.68,0.020006,happy,0.3409,0.3409,emotional
2,00:01.71-00:02.71,136.0,0.07595,0.5063,0.6941,1148.77,0.028986,happy,0.3846,0.3846,suspense
3,00:02.71-00:04.92,136.0,0.091201,0.608,1.6608,885.01,0.023305,happy,0.3333,0.3333,emotional
4,00:04.92-00:07.09,136.0,0.182695,1.0,5.6435,1312.96,0.026232,angry,0.3514,0.3514,intense
5,00:07.09-00:07.84,136.0,0.077059,0.5137,0.9733,1574.01,0.029756,happy,0.3846,0.3846,suspense
6,00:07.84-00:09.09,136.0,0.070211,0.4681,0.076,1847.66,0.044235,happy,0.4839,0.4839,suspense
7,00:09.09-00:10.59,136.0,0.084435,0.5629,1.7368,1501.05,0.040648,happy,0.4054,0.4054,emotional
8,00:10.59-00:13.22,136.0,0.082632,0.5509,2.1972,1989.74,0.068552,happy,0.4054,0.4054,emotional
9,00:13.22-00:13.81,136.0,0.035512,0.2367,-4.1025,1758.63,0.072021,happy,0.3056,0.3056,suspense
10,00:13.81-00:14.68,136.0,0.044016,0.2934,-1.5513,1709.55,0.064106,happy,0.4545,0.4545,suspense
11,00:14.68-00:16.35,136.0,0.106565,0.7104,3.865,1296.72,0.038289,angry,0.3171,0.3171,intense
12,00:16.35-00:17.48,136.0,0.044512,0.2967,-2.6227,1492.91,0.056292,happy,0.4687,0.4687,suspense
13,00:17.48-00:18.48,136.0,0.132172,0.8811,5.4491,1928.12,0.070446,angry,0.3421,0.3421,intense
14,00:18.48-00:19.52,136.0,0.13464,0.8976,6.3474,2146.06,0.071267,angry,0.3714,0.3714,intense
15,00:19.52-00:21.44,136.0,0.067309,0.4487,-3.5545,2140.69,0.086014,happy,0.4286,0.4286,suspense
16,00:21.44-00:22.23,136.0,0.111076,0.7405,4.1481,1723.19,0.04714,angry,0.3333,0.3333,intense
17,00:22.23-00:22.94,136.0,0.080989,0.5399,2.6109,3900.75,0.251717,happy,0.3333,0.3333,suspense
18,00:22.94-00:23.73,136.0,0.03532,0.2355,-6.6051,3690.98,0.206487,happy,0.2979,0.2979,suspense
19,00:23.73-00:24.98,136.0,0.078068,0.5205,0.2544,2232.74,0.066895,happy,0.4865,0.4865,suspense
20,00:24.98-00:25.82,136.0,0.17689,1.0,7.3512,1867.12,0.028537,angry,0.3824,0.3824,intense
21,00:25.82-00:28.74,136.0,0.039566,0.2638,-14.4364,2710.3,0.152929,happy,0.4706,0.4706,suspense
22,00:28.74-00:30.41,136.0,0.027836,0.1856,-18.0703,3041.15,0.194695,happy,0.2264,0.2264,suspense
23,00:30.41-00:32.41,136.0,0.032161,0.2144,-15.91,1923.14,0.091948,sad,0.3429,0.3429,suspense
24,00:32.41-00:33.66,136.0,0.187619,1.0,5.7989,1006.91,0.035211,angry,0.3514,0.3514,intense
