scene,time,scene_type,scene_type_confidence,classification_reliable,M,A,O,F,EI,level,audio_mood,audio_emotion,audio_confidence,audio_emotion_raw_score,camera_angle,face_emotion,face_found,objects,tempo_bpm,mfcc_mean,spectral_centroid,fusion_confidence
1,00:00.00-00:01.71,Unknown,0.7693,True,0.0056,0.6418,0.0,0.0,0.19,Low,emotional,happy,0.3409,0.3409,right,unknown,False,,136.0,-3.0283,907.68,0.7693
2,00:01.71-00:02.71,Emotional,0.5399,True,0.1516,0.5063,0.3715,0.0,0.28,Low,suspense,happy,0.3846,0.3846,right,unknown,False,person,136.0,0.6941,1148.77,0.5399
3,00:02.71-00:04.92,Romance,0.9107,True,0.0475,0.608,0.3815,0.9993,0.43,Medium,emotional,happy,0.3333,0.3333,left,sad,True,person,136.0,1.6608,885.01,0.9107
4,00:04.92-00:07.09,Dialogue,0.6208,True,0.0216,1.0,0.5208,0.9575,0.56,Medium,intense,angry,0.3514,0.3514,right,happy,True,"bottle, bowl, carrot, cup",136.0,5.6435,1312.96,0.6208
5,00:07.09-00:07.84,Romance,0.736,True,0.0369,0.5137,0.378,0.5682,0.33,Low,suspense,happy,0.3846,0.3846,right,sad,True,person,136.0,0.9733,1574.01,0.736
6,00:07.84-00:09.09,Romance,0.6849,True,0.0248,0.4681,0.3783,0.5788,0.31,Low,suspense,happy,0.4839,0.4839,left,sad,True,person,136.0,0.076,1847.66,0.6849
7,00:09.09-00:10.59,Romance,0.619,True,0.1045,0.5629,0.3807,0.0,0.28,Low,emotional,happy,0.4054,0.4054,left,unknown,False,person,136.0,1.7368,1501.05,0.619
8,00:10.59-00:13.22,Emotional,0.5392,True,0.3851,0.5509,0.3701,0.0,0.37,Low,emotional,happy,0.4054,0.4054,right,unknown,False,person,136.0,2.1972,1989.74,0.5392
9,00:13.22-00:13.81,Romance,0.5688,True,0.0105,0.2367,0.378,0.9706,0.3,Low,suspense,happy,0.3056,0.3056,left,fear,True,person,136.0,-4.1025,1758.63,0.5688
10,00:13.81-00:14.68,Emotional,0.5818,True,0.0343,0.2934,0.3772,0.0,0.18,Low,suspense,happy,0.4545,0.4545,left,unknown,False,person,136.0,-1.5513,1709.55,0.5818
11,00:14.68-00:16.35,Romance,0.4473,True,0.362,0.7104,0.2993,0.0,0.4,Medium,intense,angry,0.3171,0.3171,right,unknown,False,person,136.0,3.865,1296.72,0.4473
12,00:16.35-00:17.48,Romance,0.9174,True,0.0722,0.2967,0.5165,0.0,0.22,Low,suspense,happy,0.4687,0.4687,right,unknown,False,car,136.0,-2.6227,1492.91,0.9174
13,00:17.48-00:18.48,Comedy,0.4232,True,0.7768,0.8811,0.669,0.0,0.67,Medium,intense,angry,0.3421,0.3421,right,unknown,False,"car, tv",136.0,5.4491,1928.12,0.4232
14,00:18.48-00:19.52,Comedy,0.9257,True,0.3068,0.8976,0.4925,0.0,0.48,Medium,intense,angry,0.3714,0.3714,left,unknown,False,"person, tie",136.0,6.3474,2146.06,0.9257
15,00:19.52-00:21.44,Romance,0.7589,True,0.5839,0.4487,0.5512,0.0,0.45,Medium,suspense,happy,0.4286,0.4286,left,unknown,False,"chair, couch, person",136.0,-3.5545,2140.69,0.7589
16,00:21.44-00:22.23,Emotional,0.5488,True,0.357,0.7405,0.3633,0.0,0.42,Medium,intense,angry,0.3333,0.3333,left,unknown,False,person,136.0,4.1481,1723.19,0.5488
